Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,7240.0,7290.0,7230.0,7255.0,6765.94287109375,47201000
2021-10-12,7255.0,7320.0,7245.0,7320.0,6826.5615234375,91067000
2021-10-13,7400.0,8250.0,7400.0,7525.0,7017.74169921875,210893300
2021-10-14,7600.0,7900.0,7600.0,7750.0,7227.5751953125,138811900
2021-10-15,7800.0,7875.0,7450.0,7650.0,7134.31640625,142378200
2021-10-18,7650.0,7675.0,7475.0,7525.0,7017.74169921875,116644300
2021-10-19,7475.0,7525.0,7350.0,7500.0,6994.42724609375,134601200
2021-10-21,7500.0,7550.0,7350.0,7400.0,6901.16845703125,106120100
2021-10-22,7450.0,7550.0,7425.0,7525.0,7017.74169921875,96730700
2021-10-25,7400.0,7525.0,7400.0,7525.0,7017.74169921875,60329800
2021-10-26,7600.0,7600.0,7500.0,7525.0,7017.74169921875,70103000
2021-10-27,7575.0,7575.0,7425.0,7450.0,6947.79736328125,57067000
2021-10-28,7350.0,7425.0,7350.0,7375.0,6877.85302734375,75271900
2021-10-29,7450.0,7475.0,7375.0,7475.0,6971.11279296875,60639200
2021-11-01,7550.0,7550.0,7400.0,7400.0,6901.16845703125,38593400
2021-11-02,7375.0,7425.0,7250.0,7300.0,6807.90966796875,90535400
2021-11-03,7300.0,7400.0,7250.0,7350.0,6854.53857421875,61621500
2021-11-04,7425.0,7475.0,7375.0,7375.0,6877.85302734375,61081400
2021-11-05,7475.0,7475.0,7375.0,7450.0,6947.79736328125,43120400
2021-11-08,7500.0,7600.0,7450.0,7575.0,7064.37158203125,85441700
2021-11-09,7600.0,7675.0,7575.0,7675.0,7157.63037109375,101785800
2021-11-10,7675.0,7675.0,7575.0,7650.0,7134.31640625,47503900
2021-11-11,7700.0,7750.0,7600.0,7675.0,7157.63037109375,55790000
2021-11-12,7750.0,7750.0,7525.0,7525.0,7017.74169921875,52590100
2021-11-15,7625.0,7625.0,7500.0,7500.0,6994.42724609375,67344200
2021-11-16,7400.0,7475.0,7325.0,7475.0,6971.11279296875,98616900
2021-11-17,7500.0,7575.0,7425.0,7575.0,7088.0771484375,61968100
2021-11-18,7425.0,7500.0,7400.0,7400.0,6924.32666015625,78839600
2021-11-19,7425.0,7450.0,7375.0,7425.0,6947.7197265625,68203700
2021-11-22,7425.0,7525.0,7400.0,7475.0,6994.505859375,66328300
2021-11-23,7400.0,7500.0,7400.0,7475.0,6994.505859375,43477500
2021-11-24,7575.0,7575.0,7425.0,7475.0,6994.505859375,35181400
2021-11-25,7450.0,7525.0,7425.0,7425.0,6947.7197265625,40216100
2021-11-26,7400.0,7450.0,7250.0,7275.0,6807.36181640625,113288400
2021-11-29,7275.0,7425.0,7175.0,7400.0,6924.32666015625,87907900
2021-11-30,7325.0,7425.0,7275.0,7275.0,6807.36181640625,144923700
2021-12-01,7275.0,7450.0,7275.0,7300.0,6830.7548828125,76538100
2021-12-02,7375.0,7500.0,7300.0,7500.0,7017.8984375,66831000
2021-12-03,7525.0,7525.0,7350.0,7375.0,6900.93310546875,63283700
2021-12-06,7450.0,7475.0,7350.0,7350.0,6877.54052734375,56944100
2021-12-07,7450.0,7475.0,7350.0,7350.0,6877.54052734375,51258200
2021-12-08,7450.0,7475.0,7400.0,7425.0,6947.7197265625,74775000
2021-12-09,7400.0,7450.0,7350.0,7350.0,6877.54052734375,54886400
2021-12-10,7325.0,7375.0,7275.0,7375.0,6900.93310546875,91092400
2021-12-13,7375.0,7400.0,7300.0,7300.0,6830.7548828125,59977100
2021-12-14,7300.0,7375.0,7275.0,7300.0,6830.7548828125,49763600
2021-12-15,7300.0,7375.0,7275.0,7300.0,6830.7548828125,52477600
2021-12-16,7375.0,7400.0,7275.0,7275.0,6807.36181640625,95171400
2021-12-17,7325.0,7500.0,7300.0,7500.0,7017.8984375,107096800
2021-12-20,7350.0,7400.0,7325.0,7375.0,6900.93310546875,74753000
2021-12-21,7325.0,7400.0,7325.0,7375.0,6900.93310546875,52386100
2021-12-22,7425.0,7425.0,7325.0,7325.0,6854.1474609375,33232000
2021-12-23,7325.0,7350.0,7300.0,7300.0,6830.7548828125,37136400
2021-12-24,7300.0,7350.0,7300.0,7300.0,6830.7548828125,30802100
2021-12-27,7300.0,7350.0,7300.0,7350.0,6877.54052734375,20722100
2021-12-28,7375.0,7400.0,7325.0,7350.0,6877.54052734375,39343800
2021-12-29,7350.0,7375.0,7300.0,7300.0,6830.7548828125,42079500
2021-12-30,7350.0,7350.0,7300.0,7300.0,6830.7548828125,49954700
2022-01-03,7325.0,7400.0,7300.0,7325.0,6854.1474609375,54287400
2022-01-04,7325.0,7450.0,7325.0,7400.0,6924.32666015625,70624000
2022-01-05,7450.0,7525.0,7375.0,7450.0,6971.1123046875,76164900
2022-01-06,7500.0,7525.0,7425.0,7475.0,6994.505859375,63657100
2022-01-07,7550.0,7700.0,7500.0,7650.0,7158.2568359375,143433300
2022-01-10,7575.0,7650.0,7550.0,7600.0,7111.47021484375,45351900
2022-01-11,7650.0,7700.0,7625.0,7700.0,7205.04248046875,110334600
2022-01-12,7700.0,7700.0,7650.0,7700.0,7205.04248046875,62606000
2022-01-13,7700.0,7750.0,7650.0,7700.0,7205.04248046875,50025200
2022-01-14,7700.0,7850.0,7650.0,7850.0,7345.400390625,65898700
2022-01-17,7900.0,7900.0,7700.0,7750.0,7251.82861328125,63902600
2022-01-18,7775.0,7775.0,7550.0,7675.0,7181.6494140625,71476300
2022-01-19,7650.0,7725.0,7575.0,7675.0,7181.6494140625,60389700
2022-01-20,7725.0,7775.0,7625.0,7775.0,7275.2216796875,59925500
2022-01-21,7775.0,7950.0,7700.0,7950.0,7438.97216796875,63370500
2022-01-24,7825.0,7850.0,7775.0,7800.0,7298.6142578125,40278300
2022-01-25,7675.0,7775.0,7625.0,7775.0,7275.2216796875,106796900
2022-01-26,7700.0,7750.0,7650.0,7700.0,7205.04248046875,53350200
2022-01-27,7625.0,7800.0,7625.0,7800.0,7298.6142578125,71945100
